X,Y
11.6070051686,3.1966546895
11.604717635,3.1713400952
12.3523718114,3.2085649485
12.376097474,3.2082962216
12.3947134756,3.2074232351
12.406685994,3.2059940216
12.4123467302,3.2039868748
12.4112223782,3.2016128455
12.4032708084,3.1988720805
12.3915650553,3.1965474774
11.9526895586,3.1971433772
11.9474608606,3.1980705931
11.9375693349,3.2008859006
11.9346015875,3.2033721285
11.9384885576,3.2055241803
11.9488619328,3.2071046054
11.9660140163,3.2081374935
11.994921114,3.2085649485
12.7425752904,3.1713400952
12.7408450471,3.1919534538
12.7386520024,3.2053818053
12.7375816414,3.2078216138
12.6814211302,3.1665884801
12.7048603194,3.1656743907
12.7241655364,3.166135542
12.7371232767,3.167898015
12.7424817915,3.1707384755
12.7425752904,3.1713400952
12.1181839026,3.1893049777
12.1079765751,3.1860742784
12.1027501596,3.1851308559
12.242946533,3.1850365137
12.2427025741,3.1850776165
12.2291090228,3.1893049777
12.2897019512,3.2085649485
12.2869173517,3.2080137449
12.2842350694,3.2063804471
12.2817536813,3.2037250778
12.2795643491,3.2001451325
12.2777475276,3.195772243
12.276369986,3.1907670441
12.2756017549,3.1863002157
12.0716752757,3.1864216177
12.0709229394,3.1907670441
12.0695453978,3.195772243
12.0677285763,3.2001451325
12.0655392441,3.2037250778
12.0630578561,3.2063804471
12.0603755737,3.2080137449
12.0575909742,3.2085649485
12.0652199361,3.2092060945
12.0960384909,3.2117961245
12.107630927,3.2134114559
12.8697516907,6.4082067035
12.8694342541,6.4066901751
12.8651549204,6.4003899799
13.010400347,6.4107265431
13.0218817594,6.4093711362
13.0316806553,6.405259466
11.9872824347,7.1723646991
11.9869649511,7.1708481885
11.9826856441,7.1645479788
12.1279310601,7.1748845509
12.1394125438,7.1735290953
12.1492114139,7.1694174401
12.42851707,6.6629260282
12.4281996204,6.6614095073
12.4239202867,6.6551093121
12.5691657263,6.6654458678
12.5806471386,6.6640904609
12.5904460346,6.6599787907
12.4285170554,6.9176453744
12.4281996237,6.9161288339
12.4239202649,6.9098286541
12.5691657327,6.9201651963
12.5806471127,6.9188098005
12.5904460346,6.9146981154
13.3109863115,6.1534873788
13.3106688878,6.1519708429
13.3063895282,6.1456706627
13.4516349936,6.1560072035
13.4631163801,6.1546518115
13.472915302,6.1505401264
12.8697516956,6.6629260385
12.8694342444,6.6614095092
12.865154918,6.6551093107
13.010400351,6.665445873
13.0218817596,6.6640904607
13.0316806598,6.6599787882
13.7522209841,5.8987680241
13.7519035086,5.8972515182
13.7476242008,5.8909513081
13.8928696144,5.9012878788
13.9043510008,5.8999324868
13.9141499746,5.8958207717
13.7522209695,6.1534873704
13.7519034859,6.1519708598
13.7476241789,6.1456706501
13.8928696468,6.1560071922
13.9043510268,6.1546517965
13.9141498968,6.1505401413
11.9872824493,6.9176453529
11.9869649738,6.916128847
11.982685666,6.9098286368
12.1279310796,6.9201652075
12.1394125179,6.9188097856
12.1492113879,6.9146981304
13.3109863228,6.40820671
13.3106688651,6.4066901845
13.3063895582,6.4003899748
13.4516349742,6.4107265469
13.463116406,6.4093711212
13.4729152761,6.405259466
14.6590411273,5.8736657401
14.656151154,5.8766165515
14.6423943407,5.8872581738
14.9881480386,5.1903861438
14.9883098358,5.1857222373
14.9831492062,5.1663693639
14.9732513179,5.1494672737
14.9591033965,5.1341010648
14.9387241254,5.1188869183
14.9137958488,5.1059309093
14.8850190969,5.0957456797
14.8531515091,5.0886644587
14.8189867775,5.0849790912
14.7836243569,5.0848197292
14.7480840451,5.0882299692
14.7134131286,5.0950414081
14.6808683516,5.1049683946
14.6511593477,5.1176292726
14.6256894388,5.1322702239
14.6046032326,5.1484597236
14.5891066303,5.1648460201
14.5785725627,5.1812920423
14.5732203848,5.196655786
14.5729737158,5.2014759564
11.0549024955,7.2427656409
11.0430368976,7.2430129174
11.0077842193,7.2467222324
10.9747708257,7.2531113619
10.9443371246,7.2619812249
10.9181107322,7.2727646308
10.896219196,7.2851262241
10.8799101209,7.2979877688
10.86870146,7.3109299405
10.8625401409,7.3230603666
10.8606507404,7.3341913451
14.5676797958,5.7111698091
14.49971038,5.685897474
14.4282603686,5.6691904
14.5676797958,5.8238524459
14.49971038,5.8280973282
14.4282603686,5.8227000739
14.2751672305,5.9110788613
14.2988883925,5.900350339
14.3263677502,5.8932107567
